Country,Year,Consumption,Inflation,GDP_per_capita,Unemployment_rate,ExchangeRate,GrossSaving
Malaysia,2007,10.4438326008287,2.02735317779569,7769.59693350488,3.31,3.43756938226247,38.7668425775513
Philippines,2007,4.80943140103017,2.90000000000003,2209.34651083329,3.434,46.148391177755,36.7544223626748
Thailand,2007,1.19163701229097,2.24154095286803,4760.66708464831,1.18,34.5181805917013,32.2498340915576
United States,2007,2.43091397544188,2.85267248150138,53889.3964951775,4.622,1.0,17.427949807313
Australia,2008,4.86697077503983,4.35029854990048,53497.275355342,4.242,1.19217833333333,21.845024795339
France,2008,0.522142576546997,2.81286194914787,36257.3658930938,7.386,0.679922680042729,23.2559008511574
Malaysia,2008,8.71934316713224,5.44078221100769,7976.11785374773,3.34,3.33583333333333,38.5177080119428
Philippines,2008,3.85261339981233,8.26044703595725,2264.9462907288,3.72,44.32328760941,36.0222747408748
Thailand,2008,2.83342492754259,5.46848949649845,4805.76393990836,1.18,33.3133006412338,30.6620557262506
United States,2008,0.150028625881319,3.839100296651,53442.7136899777,5.784,1.0,15.0588110826952
Australia,2009,0.420422545471183,1.77111716621254,53430.5274781651,5.565,1.28218881008452,23.9195578923009
France,2009,0.304815545238341,0.0876204781574552,35052.8510772683,9.122,0.716957702016136,20.8056292864457
Malaysia,2009,0.553880589333716,0.583308405623702,7700.46111294033,3.62,3.52450291070644,33.3634416267683
Philippines,2009,2.53144892512296,4.21903052064628,2256.72554835463,3.858,47.6796884535091,37.9486917120278
Thailand,2009,-0.899216002255912,-0.845716092316721,4737.45679763314,1.49,34.2857741234241,29.2740607965439
United States,2009,-1.30549592511008,-0.355546266299747,51611.3217087719,9.254,1.0,13.8930513792376
Australia,2010,3.48432814012341,2.91834002677376,53768.349733441,5.214,1.09015948638677,21.7091351421171
France,2010,1.88358120189849,1.53112270420926,35578.1968010183,9.279,0.754308990105961,20.9610611911773
Malaysia,2010,6.86192061413064,1.62285235577035,8118.92270511981,3.32,3.22108691472175,33.4664682988521
Philippines,2010,3.58979951143765,3.78983634797591,2373.14312064664,3.605,45.1096641800896,39.7514910839799
Thailand,2010,5.45124306353435,3.24758842443723,5059.35747831657,0.622,31.685705,29.6275906793853
United States,2010,1.90591226394695,1.6400434423899,52555.7695134023,9.633,1.0,15.383257822255
Australia,2011,4.02062485417099,3.3038501560874,54296.2321324814,5.083,0.969463201496735,23.1621677041742
France,2011,0.617673076246035,2.11159795174994,36269.9561530888,9.228,0.718413898653317,21.9422669989976
Malaysia,2011,6.86434996091751,3.1744709215131,8400.32248683558,3.05,3.06000301052058,34.0818029856008
Philippines,2011,5.55213421827969,4.7184170471842,2416.75212064542,3.592,43.3131369237488,36.8750710888523
Thailand,2011,1.83395020601833,3.80879058139634,5070.23740191942,0.66,30.4917333333333,31.4339629664977
United States,2011,1.7015504207548,3.156841568622,52956.6630340962,8.949,1.0,16.3373295989846
Australia,2012,2.95248813238207,1.76278015613196,55465.4462872577,5.225,0.965801030658708,24.200411352821
France,2012,-0.423139935298906,1.9541953161351,36161.2918253465,9.841,0.778338120416812,21.1445636776072
Malaysia,2012,8.3454078728834,1.66357102479206,8710.52671359902,3.04,3.08880086662188,30.9153494882722
Philippines,2012,6.79897025840299,3.02696391124796,2533.74141964959,3.504,42.2287947349434,35.1328493512711
Thailand,2012,7.33269516857679,3.01489950334985,5403.87846036273,0.58,31.0830916666667,28.9313113964315
United States,2012,1.36734369680154,2.06933726526067,53738.1476714593,8.069,1.0,18.3792918907922
Australia,2013,2.01969291765629,2.4498886414254,55966.1509270561,5.663,1.03584309652054,23.7827985137743
France,2013,0.509561086791905,0.863715497861805,36256.086680981,9.913,0.752945122701996,21.1527297625311
Malaysia,2013,7.24894837565304,2.10501231233612,8964.80724896203,3.14,3.15090855009724,29.4198401146816
Philippines,2013,5.81900321327258,2.58268766141795,2654.41506933978,3.497,42.4461848306739,36.3544017148818
Thailand,2013,0.95407850320133,2.18488618530687,5516.61164164135,0.249,30.7259666666667,27.2207671462189
United States,2013,1.74400943220412,1.46483265562717,54462.6252412407,7.375,1.0,18.6046397105057
Australia,2014,2.29922668624469,2.48792270531404,56571.8062524437,6.078,1.10936329281692,23.4563274824008
France,2014,0.819661538466349,0.50775882293799,36444.3949089146,10.273,0.752728196932603,21.0922067480042
Malaysia,2014,6.97639355095627,3.14299050879095,9341.73055971278,2.88,3.27285974643047,29.3665669513565
Philippines,2014,5.78445518217687,3.59782343864211,2776.92005909479,3.6,44.3951543042097,37.3474479713157
Thailand,2014,0.533204479085697,1.8951418189878,5541.46599361845,0.576,32.4798333333333,27.4850789547057
United States,2014,2.83030380803544,1.62222297740817,55394.4510435329,6.168,1.0,19.721013463213
Australia,2015,2.59814497573703,1.50836672165921,56970.3613028094,6.055,1.33109026245502,22.521231196962
France,2015,1.47901853926278,0.0375143805125182,36702.4323733379,10.354,0.901296423367096,21.5310981790445
Malaysia,2015,6.01754166372075,2.10438980238359,9648.6797937523,3.1,3.90550026302768,28.3991476426936
Philippines,2015,6.44457248501706,0.674192536845408,2909.85818010301,3.068,45.5028399421431,35.6348333700961
Thailand,2015,2.60425722214792,-0.900424963291569,5688.85335397884,0.597,34.2477166666667,28.043823657924
United States,2015,3.37254996377239,0.118627135552451,56572.9188996063,5.28,1.0,19.7947209402226
Australia,2016,2.66928186310041,1.27699094497324,57632.9995925594,5.711,1.34521397601947,20.529640955705
France,2016,1.77987998350405,0.18333486112386,36920.5342846914,10.057,0.903421436257263,21.1607249969519
Malaysia,2016,5.85118565859091,2.09056659525742,9901.47960179812,3.44,4.14830066287879,28.3850019206649
Philippines,2016,7.14960846141666,1.25369880080982,3076.3374186759,2.695,47.4924638585099,35.0547724231085
Thailand,2016,2.88087275079477,0.188149704448143,5857.78052935926,0.688,35.2963833333333,30.0765044478694
United States,2016,2.45453104947551,1.26158320570536,57151.4708448372,4.869,1.0,18.6676935456278
Australia,2017,2.47238165876762,1.94864740944527,57991.771347333,5.592,1.30475807671592,21.5782074482669
France,2017,1.4786626015655,1.03228275064662,37580.5979329356,9.409,0.885205508269372,21.6185171335885
Malaysia,2017,6.90826593695486,3.87120115774237,10293.7629205362,3.41,4.30044087761124,28.3359876066459
Philippines,2017,5.95736650147924,2.85318772590947,3247.4503878362,2.552,50.4037197937177,35.4886316753905
Thailand,2017,3.08790780443007,0.665631893135106,6076.74307700082,0.83,33.9398110566858,31.9424672317789
United States,2017,2.63814721783702,2.13011000365961,58151.7021391854,4.355,1.0,19.1103747200543
Australia,2018,2.82145036045272,1.91140094445691,58772.7063152213,5.345,1.33841214646451,21.4012664353392
France,2018,0.982170683050512,1.85081508315502,38062.4435961412,9.018,0.846772667108111,21.8900056739386
